,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,cb_person_default_on_file,cb_person_cred_hist_length
2080,51,45000,Rent,2.0,Medical,C,8400,13.11,0,1,18
2081,21,55438,Rent,4.0,Venture,C,19400,13.49,1,0,2
2082,41,250000,Mortgage,18.0,Education,B,5000,9.99,0,0,12
2084,29,53360,Mortgage,11.0,Education,A,10475,7.88,0,0,9
2086,31,75000,Mortgage,3.0,Venture,F,8000,18.21,0,1,7
2087,25,13296,Rent,0.0,Homeimprovement,B,4950,9.63,1,0,3
2088,28,39000,Rent,0.0,Medical,A,9600,7.49,0,0,8
2089,25,55000,Mortgage,1.0,Debtconsolidation,C,2000,13.22,0,0,2
2090,27,48000,Rent,2.0,Homeimprovement,A,4000,6.03,1,0,6
2091,22,65000,Own,6.0,Medical,C,12000,6.92,0,0,14
2092,23,50000,Own,0.0,Venture,B,14000,10.33,0,0,2
2093,24,58000,Mortgage,6.0,Debtconsolidation,A,2200,7.4,0,0,3
2094,27,42000,Rent,3.0,Venture,A,2400,6.54,0,0,10
2095,22,60000,Mortgage,6.0,Venture,A,7000,7.14,0,0,3
2096,33,90000,Mortgage,4.0,Education,C,12000,12.98,0,0,5
2097,48,39915,Rent,15.0,Venture,A,20000,7.49,1,0,12
2098,22,65000,Mortgage,2.0,Venture,B,10000,11.11,0,0,3
2099,24,39996,Mortgage,1.0,Personal,B,3000,9.91,0,0,4
2100,23,72000,Rent,7.0,Personal,B,10000,10.59,0,0,4
2102,33,43000,Rent,1.0,Education,C,9150,13.16,0,1,10
2103,24,50000,Mortgage,1.0,Personal,C,11400,12.53,0,0,2
2104,24,48000,Mortgage,3.0,Debtconsolidation,B,4800,9.99,0,0,2
2105,24,76597,Rent,5.0,Education,B,22000,9.25,0,0,2
2107,24,71000,Rent,8.0,Venture,B,11200,11.36,0,0,3
2108,38,65000,Rent,6.0,Personal,C,7500,12.29,0,1,13
2109,52,100000,Own,4.0,Personal,B,10000,9.88,0,0,25
2111,25,74000,Mortgage,5.0,Homeimprovement,D,10000,14.59,0,1,4
2113,34,30000,Rent,3.0,Personal,A,9050,5.99,0,0,9
2114,22,40000,Rent,1.0,Education,B,16000,8.88,1,0,3
2115,30,44000,Rent,0.0,Personal,D,10500,15.58,1,1,10
2116,26,35000,Rent,0.0,Medical,B,14500,11.49,1,0,3
2117,26,42000,Rent,3.0,Personal,B,3500,10.74,0,0,4
2118,41,21600,Own,1.0,Homeimprovement,C,3500,13.61,0,0,12
2119,24,65000,Mortgage,3.0,Education,A,6000,6.03,0,0,3
2120,31,34000,Rent,0.0,Medical,A,7500,8.94,0,0,8
2121,21,34000,Rent,5.0,Debtconsolidation,C,7800,13.79,1,0,2
2122,22,69600,Rent,6.0,Debtconsolidation,C,1350,12.68,0,1,3
2124,35,46654,Mortgage,19.0,Education,B,17000,11.83,0,0,10
2126,25,17600,Rent,0.0,Personal,C,4500,13.99,1,0,2
2127,23,21600,Mortgage,7.0,Education,A,2000,6.17,0,0,4
2128,31,95000,Mortgage,5.0,Homeimprovement,B,15000,11.14,0,0,5
2129,39,48000,Rent,0.0,Venture,C,10000,13.22,0,0,16
2130,37,55000,Rent,3.0,Homeimprovement,E,7000,16.32,0,1,13
2131,29,70000,Rent,2.0,Medical,C,20000,13.85,0,0,5
2132,38,96000,Mortgage,0.0,Personal,C,1500,14.26,0,0,14
2133,28,30000,Mortgage,4.0,Homeimprovement,A,3000,6.76,0,0,9
2134,39,75000,Rent,0.0,Personal,B,14400,12.53,0,0,15
2135,33,58800,Rent,10.0,Venture,B,3000,11.49,0,0,5
2137,44,95000,Mortgage,1.0,Personal,B,21200,9.91,0,0,14
2138,27,96996,Mortgage,11.0,Debtconsolidation,B,1500,10.95,0,0,10
2139,29,67992,Mortgage,0.0,Homeimprovement,A,2000,7.43,0,0,7
2140,26,36000,Own,0.0,Personal,B,15000,10.25,0,0,2
2141,23,75000,Rent,6.0,Debtconsolidation,A,13000,6.91,0,0,2
2142,22,66000,Mortgage,4.0,Debtconsolidation,A,2700,6.76,0,0,3
2143,29,37500,Rent,7.0,Education,B,3300,10.37,0,0,8
2144,40,55182,Rent,0.0,Venture,A,6000,6.99,0,0,13
2145,27,45000,Mortgage,2.0,Medical,A,10000,6.17,0,0,9
2146,26,92000,Mortgage,0.0,Debtconsolidation,B,5600,11.46,0,0,3
2147,24,36000,Rent,3.0,Education,D,5300,15.28,0,0,3
2148,23,75000,Own,7.0,Venture,A,20400,7.74,0,0,4
2149,25,30000,Rent,1.0,Education,B,3075,10.59,0,0,2
2150,22,38000,Rent,2.0,Education,C,1500,13.22,0,1,2
2151,42,48000,Own,0.0,Personal,C,3500,14.35,0,0,12
2152,23,60000,Mortgage,7.0,Education,A,15000,7.9,0,0,3
2153,28,90000,Rent,5.0,Debtconsolidation,C,7000,12.87,0,1,10
2155,22,30000,Rent,4.0,Venture,D,5000,15.21,1,1,3
2156,26,47000,Rent,7.0,Medical,A,15000,7.9,1,0,4
2157,25,35280,Rent,0.0,Homeimprovement,D,5000,14.96,1,0,3
2158,23,35000,Mortgage,6.0,Education,B,8400,12.18,0,0,3
2159,26,120000,Mortgage,11.0,Venture,A,10000,5.99,0,0,4
2160,26,53595,Mortgage,3.0,Personal,A,6000,7.88,0,0,2
2161,24,28590,Rent,7.0,Debtconsolidation,D,8000,15.65,1,1,2
2164,26,124726,Mortgage,3.0,Personal,A,15000,7.29,0,0,3
2166,27,28560,Mortgage,7.0,Personal,A,2400,6.39,0,0,8
2167,32,81000,Mortgage,1.0,Personal,B,10000,10.37,0,0,10
2168,36,34000,Mortgage,2.0,Personal,B,5000,10.65,0,0,15
2169,28,33400,Mortgage,12.0,Personal,A,16700,7.66,0,0,5
2170,30,61400,Rent,4.0,Venture,C,6000,15.96,0,0,9
2171,24,33000,Rent,2.0,Debtconsolidation,A,13300,7.66,1,0,4
2174,29,100000,Rent,4.0,Venture,A,10000,9.63,0,0,9
2176,34,27000,Rent,3.0,Medical,B,2525,12.21,0,0,10
2177,25,94976,Mortgage,5.0,Debtconsolidation,B,20000,10.74,0,0,3
2178,38,110000,Mortgage,5.0,Medical,B,16000,11.99,0,0,13
2179,28,80000,Rent,7.0,Venture,B,3025,9.99,0,0,8
2181,26,21600,Mortgage,0.0,Homeimprovement,B,1000,10.36,0,0,3
2182,35,83234,Mortgage,19.0,Debtconsolidation,D,10000,18.25,1,1,9
2183,35,104000,Rent,0.0,Debtconsolidation,B,3000,11.58,0,0,6
2184,22,64000,Mortgage,4.0,Personal,C,14000,13.23,0,1,3
2185,22,110000,Mortgage,0.0,Education,A,12000,7.14,0,0,2
2186,26,70885,Mortgage,10.0,Debtconsolidation,A,1000,6.39,0,0,4
2187,29,82438,Rent,14.0,Personal,B,3600,10.99,1,0,9
2189,32,119000,Mortgage,10.0,Medical,C,9000,13.47,0,0,7
2190,27,60000,Own,4.0,Homeimprovement,A,10500,7.49,0,0,7
2191,24,84000,Mortgage,8.0,Education,B,18000,9.99,0,0,2
2192,35,75000,Mortgage,5.0,Personal,B,5000,8.7,0,0,9
2193,26,58900,Mortgage,8.0,Personal,A,6400,8.63,0,0,3
2194,40,132000,Rent,18.0,Debtconsolidation,C,11200,12.68,0,0,12
2195,28,36000,Rent,3.0,Medical,D,9600,14.61,1,1,10
2196,26,65000,Rent,5.0,Homeimprovement,C,10000,14.27,0,0,4
2197,24,36000,Rent,0.0,Debtconsolidation,B,12250,11.49,1,0,2
2198,27,46800,Mortgage,3.0,Venture,C,6500,12.87,0,0,6
2199,22,35000,Rent,2.0,Medical,F,7000,18.09,1,1,2
2200,22,55000,Own,0.0,Personal,A,1275,6.91,0,0,4
2201,27,72000,Mortgage,3.0,Debtconsolidation,A,15000,5.42,0,0,5
2204,26,57000,Mortgage,10.0,Venture,B,2500,11.58,0,0,3
2205,22,54000,Mortgage,1.0,Homeimprovement,D,10000,14.61,1,1,4
2206,22,40000,Rent,0.0,Venture,A,8600,7.66,0,0,2
2208,38,45000,Rent,1.0,Medical,C,5000,12.68,0,1,13
2210,25,55800,Mortgage,9.0,Medical,C,3500,14.17,0,1,3
2211,24,68004,Mortgage,7.0,Education,A,4000,6.39,0,0,3
2212,23,65004,Rent,0.0,Venture,C,3000,13.61,0,1,3
2213,29,70000,Rent,3.0,Homeimprovement,C,5600,14.27,0,1,6
2214,25,50000,Own,9.0,Venture,C,12000,13.98,0,0,2
2215,26,109200,Mortgage,10.0,Personal,A,2300,7.9,0,0,4
2216,31,139016,Rent,5.0,Venture,D,25000,15.37,1,1,8
2217,30,31000,Mortgage,3.0,Education,A,13000,7.88,1,0,8
2218,25,78500,Rent,2.0,Medical,B,12000,10.99,0,0,2
2219,44,43200,Rent,0.0,Medical,A,6000,5.42,0,0,11
2220,24,40000,Rent,4.0,Medical,B,8000,9.63,0,0,3
2221,27,53400,Mortgage,8.0,Personal,B,4000,9.99,0,0,6
2222,29,36000,Rent,4.0,Education,A,6000,5.99,0,0,6
2223,25,50000,Mortgage,9.0,Personal,C,20000,15.27,0,0,4
2224,23,34174,Mortgage,8.0,Personal,C,9000,13.47,0,0,4
2227,28,44604,Rent,11.0,Personal,B,1500,11.12,0,0,7
2230,24,60000,Mortgage,9.0,Personal,A,5000,7.88,0,0,4
2231,22,42000,Rent,6.0,Medical,B,15000,9.63,1,0,3
2232,26,45000,Mortgage,6.0,Venture,A,5000,6.99,0,0,2
2233,24,44000,Rent,1.0,Education,B,4000,8.7,0,0,2
2234,29,50000,Rent,0.0,Venture,B,6000,8.88,0,0,7
2235,22,50000,Mortgage,0.0,Education,B,20000,11.48,0,0,2
2236,34,325550,Mortgage,3.0,Medical,D,35000,16.77,1,1,6
2237,24,83904,Mortgage,8.0,Debtconsolidation,D,16000,16.07,1,1,4
2238,40,35000,Mortgage,6.0,Venture,B,5600,10.65,0,0,13
2239,53,45000,Rent,0.0,Personal,C,5600,13.79,0,0,28
2240,23,66000,Rent,0.0,Medical,B,9200,11.86,0,0,2
2241,27,32760,Rent,4.0,Personal,D,5000,15.21,0,1,9
2243,29,22000,Own,0.0,Personal,B,2400,10.75,0,0,7
2244,27,30000,Rent,6.0,Venture,B,11500,10.36,1,0,7
2245,35,26400,Own,19.0,Venture,A,6600,5.99,0,0,8
2246,33,112732,Own,5.0,Personal,B,5000,12.69,0,0,5
2247,29,65004,Mortgage,7.0,Education,A,5000,6.17,0,0,7
2249,22,62500,Mortgage,6.0,Personal,A,10000,5.99,0,0,3
2250,31,636000,Rent,2.0,Debtconsolidation,B,17500,11.48,0,0,10
2251,25,30720,Mortgage,3.0,Medical,B,2000,11.12,0,0,4
2252,27,125000,Own,7.0,Personal,B,13200,11.14,0,0,8
2253,21,21600,Rent,0.0,Medical,B,2000,11.71,1,0,4
2254,22,48000,Rent,2.0,Education,B,2600,11.12,0,0,3
2255,22,21600,Mortgage,0.0,Personal,C,4000,12.99,0,0,2
2256,31,62000,Mortgage,9.0,Medical,C,2500,14.65,0,1,6
2257,26,84000,Mortgage,10.0,Personal,B,4925,9.96,0,0,3
2258,40,37440,Mortgage,3.0,Personal,B,10000,11.14,0,0,11
2259,24,79000,Rent,8.0,Homeimprovement,A,21000,7.9,0,0,2
2260,40,150000,Mortgage,18.0,Medical,A,24000,6.62,0,0,14
2261,27,37000,Own,5.0,Homeimprovement,B,8000,10.99,0,0,10
2262,25,50000,Rent,1.0,Medical,C,6000,14.79,0,1,3
2263,28,39000,Rent,0.0,Personal,A,6000,8.63,0,0,7
2264,41,33000,Rent,6.0,Venture,A,9400,8.9,0,0,16
2265,28,50820,Mortgage,12.0,Personal,B,10000,10.59,1,0,8
2266,22,29004,Rent,6.0,Debtconsolidation,C,6200,15.23,0,1,4
2267,23,112976,Mortgage,2.0,Medical,A,20000,6.91,0,0,2
2268,22,22800,Mortgage,0.0,Homeimprovement,B,7125,11.71,1,0,3
2269,37,53532,Mortgage,12.0,Debtconsolidation,A,4000,5.42,0,0,11
2270,23,132000,Mortgage,5.0,Personal,A,15000,6.99,0,0,2
2271,37,90000,Rent,21.0,Venture,A,10000,8.94,0,0,12
2272,40,75996,Mortgage,0.0,Medical,C,3600,12.87,0,0,11
2273,21,10140,Rent,0.0,Homeimprovement,C,1000,13.43,1,0,4
2274,42,36000,Rent,8.0,Medical,C,13000,12.73,1,1,16
2275,23,60480,Rent,7.0,Education,B,15000,10.83,0,0,2
2276,24,40040,Rent,0.0,Medical,C,7000,13.23,0,1,3
2277,25,125000,Mortgage,9.0,Debtconsolidation,B,25000,11.49,0,0,3
2278,27,64000,Rent,2.0,Debtconsolidation,C,5000,12.99,0,0,8
2279,27,82000,Mortgage,11.0,Venture,A,4000,7.9,0,0,10
2280,23,90000,Rent,4.0,Personal,B,18000,8.88,0,0,4
2281,28,60675,Mortgage,6.0,Debtconsolidation,D,14000,15.62,1,1,10
2282,43,39000,Mortgage,12.0,Venture,B,8000,9.99,0,0,16
2284,22,35000,Rent,0.0,Personal,B,3600,11.83,0,0,3
2285,22,62250,Rent,3.0,Personal,E,24000,16.45,1,1,4
2286,25,66800,Mortgage,3.0,Debtconsolidation,A,12000,9.63,1,0,4
2287,25,175000,Rent,2.0,Personal,A,25000,8.9,0,0,2
2288,22,49000,Mortgage,6.0,Education,A,10000,8.0,1,0,2
2289,24,45996,Rent,2.0,Venture,C,10800,13.16,0,0,4
2290,25,50000,Mortgage,6.0,Homeimprovement,C,11200,14.27,0,1,4
2291,32,28600,Rent,3.0,Venture,B,6700,10.37,0,0,9
2292,22,74000,Mortgage,6.0,Education,A,10000,7.88,0,0,2
2293,23,120000,Mortgage,3.0,Medical,B,30000,11.49,0,0,4
2294,27,30996,Rent,4.0,Debtconsolidation,D,5775,14.91,1,0,10
2295,22,40000,Rent,2.0,Education,B,9000,10.59,0,0,4
2296,29,75000,Own,3.0,Homeimprovement,A,12000,7.51,0,0,8
2297,34,70000,Mortgage,16.0,Personal,A,4000,7.74,0,0,5
2298,27,34000,Mortgage,0.0,Personal,C,8000,13.35,0,0,8
2299,37,45000,Rent,1.0,Medical,A,7200,9.63,0,0,14
2302,28,85000,Mortgage,6.0,Venture,A,9075,7.49,0,0,10
2303,28,25000,Rent,0.0,Debtconsolidation,A,3000,5.42,0,0,6
2304,22,74500,Mortgage,6.0,Debtconsolidation,D,7500,13.17,1,0,2
2305,24,46800,Mortgage,8.0,Venture,C,6000,14.22,0,1,4
2306,29,72000,Mortgage,6.0,Education,A,10800,6.99,0,0,8
2307,46,74000,Mortgage,18.0,Venture,C,20000,12.68,0,1,16
2308,22,20000,Rent,0.0,Venture,A,10000,6.62,1,0,2
2309,23,31200,Rent,2.0,Education,B,3000,11.89,0,0,2
2312,29,42000,Own,13.0,Medical,A,2500,6.76,0,0,5
2313,27,27000,Rent,2.0,Medical,B,7500,12.69,0,0,10
2315,26,78000,Mortgage,7.0,Venture,A,7200,6.62,0,0,4
2316,26,111000,Rent,1.0,Homeimprovement,B,7200,12.18,0,0,3
2317,30,114000,Mortgage,14.0,Medical,A,7200,6.03,0,0,8
2318,27,66000,Rent,2.0,Venture,C,14000,12.99,0,1,8
2319,23,48000,Rent,0.0,Venture,B,10000,9.25,0,0,3
2320,26,96000,Mortgage,3.0,Personal,A,10000,5.42,0,0,3
2321,24,57000,Mortgage,8.0,Homeimprovement,B,19725,9.99,0,0,2
2322,27,50000,Rent,0.0,Education,A,8000,7.9,0,0,8
2324,36,43680,Mortgage,0.0,Venture,C,15000,13.11,0,1,17
2325,26,42996,Rent,10.0,Medical,B,8500,10.2,0,0,2
2326,33,25000,Mortgage,0.0,Debtconsolidation,C,3000,12.53,0,1,10
2327,23,46443,Rent,7.0,Education,A,6000,7.9,0,0,4
2328,29,52000,Mortgage,6.0,Homeimprovement,B,7800,10.36,0,0,9
2329,25,125000,Mortgage,9.0,Personal,B,12000,11.11,0,0,3
2330,24,109500,Mortgage,3.0,Education,B,3500,10.75,0,0,3
2331,37,45000,Rent,0.0,Personal,B,5000,10.75,0,0,3
2332,26,104550,Mortgage,6.0,Medical,D,15000,15.33,1,0,3
2333,23,30000,Rent,1.0,Medical,B,14000,11.26,1,0,3
2334,34,80000,Mortgage,5.0,Personal,A,12000,7.49,0,0,9
2335,24,71000,Own,0.0,Homeimprovement,A,10000,5.79,0,0,3
2336,29,30720,Rent,2.0,Medical,A,3500,5.99,0,0,8
2337,38,85000,Mortgage,4.0,Personal,B,6000,10.99,0,0,14
2338,27,160000,Mortgage,12.0,Debtconsolidation,C,7000,12.23,0,1,6
2339,21,39000,Rent,5.0,Personal,B,9250,9.91,0,0,4
2340,33,68000,Mortgage,15.0,Venture,B,5000,12.18,0,0,10
2342,25,60000,Mortgage,1.0,Venture,A,5000,7.29,0,0,3
2343,22,93000,Rent,1.0,Homeimprovement,D,3600,16.77,1,1,3
2344,29,20000,Own,0.0,Venture,A,3000,8.0,0,0,5
2345,30,156000,Rent,5.0,Medical,B,25000,9.88,0,0,7
2347,39,30000,Mortgage,0.0,Education,A,10375,8.9,0,0,13
2350,29,83000,Rent,13.0,Education,B,10000,11.99,0,0,6
2351,22,69000,Mortgage,6.0,Personal,C,7800,12.41,0,1,3
2352,23,75000,Mortgage,5.0,Venture,B,5000,11.12,0,0,3
2353,29,45204,Rent,8.0,Medical,B,4000,11.48,0,0,7
2354,22,29100,Rent,2.0,Venture,D,6250,16.07,1,0,4
2355,30,80000,Mortgage,2.0,Education,C,6000,14.17,0,1,9
2356,39,36000,Rent,2.0,Medical,A,6000,8.49,0,0,14
2357,28,45996,Rent,0.0,Medical,D,11000,14.74,1,1,7
2358,40,56472,Rent,4.0,Education,B,15775,10.59,0,0,14
2359,25,41496,Rent,7.0,Education,B,5000,10.83,1,0,3
2360,40,56448,Rent,0.0,Homeimprovement,F,28000,18.62,1,0,14
2361,25,55000,Rent,0.0,Personal,A,10000,5.42,0,0,4
2363,23,43236,Own,1.0,Venture,C,18000,12.87,0,0,2
2364,22,25000,Mortgage,4.0,Venture,A,1800,8.49,0,0,2
2367,23,100000,Mortgage,7.0,Personal,B,11200,11.49,0,0,2
2368,23,50400,Own,7.0,Education,D,7000,15.99,0,0,2
2369,40,73100,Rent,0.0,Medical,D,20000,14.54,1,1,11
2370,24,35713,Rent,1.0,Medical,C,6150,11.03,0,1,3
2371,24,44000,Rent,0.0,Personal,A,2000,8.0,1,0,3
2372,27,54996,Own,5.0,Personal,C,16400,13.98,0,0,9
2373,40,82000,Rent,2.0,Medical,B,14000,10.37,0,0,13
2374,28,46000,Mortgage,12.0,Education,A,6000,8.0,0,0,7
2375,24,58000,Mortgage,3.0,Education,D,11000,16.77,0,0,4
2376,24,33000,Mortgage,8.0,Homeimprovement,C,2050,13.49,1,0,2
2377,31,94140,Rent,5.0,Venture,D,12000,14.91,0,1,8
2378,25,100000,Own,4.0,Medical,C,15000,11.28,0,0,4
2379,22,30000,Rent,0.0,Debtconsolidation,E,6000,19.39,1,1,4
2380,26,40000,Own,0.0,Medical,B,4300,10.74,0,0,2
2382,24,68000,Rent,5.0,Personal,D,25000,14.09,1,1,3
2383,26,65004,Rent,7.0,Debtconsolidation,B,20000,11.99,1,0,2
2385,26,83004,Rent,7.0,Education,A,5450,7.9,0,0,4
2386,23,48500,Mortgage,8.0,Personal,B,6000,10.25,0,0,2
2388,24,38400,Mortgage,7.0,Medical,C,15000,15.23,0,0,2
2391,25,46000,Rent,9.0,Medical,A,7000,8.49,0,0,3
2392,26,60000,Mortgage,7.0,Education,A,16000,7.9,0,0,2
2393,31,75000,Mortgage,5.0,Homeimprovement,C,2500,12.99,0,1,5
2394,23,76000,Mortgage,7.0,Medical,B,3600,10.65,0,0,3
2395,38,35427,Rent,3.0,Personal,C,5950,11.72,0,1,11
2396,26,110000,Mortgage,10.0,Homeimprovement,C,23750,12.99,0,1,4
2397,25,60000,Mortgage,3.0,Debtconsolidation,A,3200,5.42,0,0,4
2398,28,54000,Mortgage,9.0,Education,A,10000,8.59,0,0,8
2399,31,70000,Mortgage,0.0,Medical,A,3000,8.9,0,0,8
2400,21,13200,Rent,2.0,Debtconsolidation,A,1875,6.99,0,0,3
2401,33,105000,Mortgage,4.0,Homeimprovement,B,26375,9.91,0,0,9
2403,29,50400,Rent,6.0,Debtconsolidation,A,7000,6.17,0,0,8
2404,23,47148,Mortgage,3.0,Medical,A,25000,7.49,1,0,3
2405,41,57000,Rent,3.0,Personal,D,1200,15.99,0,1,12
2406,23,120000,Rent,0.0,Education,A,35000,7.9,0,0,4
2407,29,144000,Mortgage,11.0,Medical,B,7000,10.59,0,0,10
2408,27,170000,Rent,3.0,Debtconsolidation,B,12075,12.42,0,0,9
2409,30,95000,Mortgage,6.0,Personal,A,4000,5.99,0,0,9
2410,23,100000,Mortgage,4.0,Debtconsolidation,C,10000,13.57,0,0,3
2411,25,175000,Mortgage,10.0,Homeimprovement,A,8000,7.9,0,0,2
2412,24,90000,Mortgage,0.0,Debtconsolidation,C,8000,12.99,0,0,2
2414,26,42000,Rent,3.0,Venture,A,14000,6.92,1,0,2
2415,25,92700,Mortgage,5.0,Venture,C,1500,14.65,0,1,2
2417,24,54000,Rent,0.0,Homeimprovement,D,16000,15.65,1,0,4
2418,26,130000,Mortgage,10.0,Personal,D,3000,17.58,0,1,3
2419,23,24216,Rent,1.0,Education,D,3600,16.49,1,0,3
2420,25,64000,Rent,8.0,Debtconsolidation,D,15000,14.42,1,1,3
2421,26,120640,Rent,0.0,Education,C,9600,14.22,0,0,4
2422,38,48000,Mortgage,23.0,Medical,D,9000,15.21,1,1,15
2423,27,53321,Rent,11.0,Medical,D,9000,15.58,1,1,7
2424,26,55000,Rent,1.0,Debtconsolidation,A,3200,8.49,0,0,2
2425,37,25000,Rent,6.0,Education,B,7500,10.99,0,0,15
2426,27,60000,Rent,1.0,Personal,C,10000,13.22,0,0,7
2428,30,65000,Rent,1.0,Personal,B,12000,11.49,0,0,7
2429,31,50000,Rent,1.0,Medical,B,10000,12.69,0,0,8
2430,24,40000,Mortgage,1.0,Medical,B,7500,12.42,0,0,4
2431,44,124800,Rent,1.0,Personal,A,10875,7.14,0,0,14
2432,33,75693,Mortgage,5.0,Education,B,22000,10.25,0,0,10
2433,30,21996,Rent,4.0,Medical,B,7500,10.37,1,0,9
2435,33,58000,Rent,0.0,Debtconsolidation,B,14400,9.91,0,0,8
2436,31,77940,Mortgage,3.0,Debtconsolidation,B,16250,10.99,0,0,10
2437,37,30000,Rent,8.0,Venture,B,12000,12.42,1,0,15
2438,25,80000,Mortgage,5.0,Personal,A,18200,7.9,0,0,2
2439,21,24000,Rent,5.0,Venture,B,2000,11.14,0,0,4
2440,26,44400,Mortgage,0.0,Venture,C,6500,14.35,0,0,2
2441,24,50000,Rent,1.0,Homeimprovement,A,4000,5.42,0,0,2
2442,35,86000,Mortgage,19.0,Medical,A,20000,6.54,0,0,10
2443,25,94000,Mortgage,9.0,Homeimprovement,B,30000,10.65,0,0,4
2444,40,68000,Rent,12.0,Homeimprovement,A,7000,7.51,0,0,11
2445,38,32000,Rent,0.0,Debtconsolidation,B,6000,11.36,1,0,16
2447,28,118000,Rent,7.0,Debtconsolidation,A,4800,8.9,0,0,6
2449,22,62654,Mortgage,4.0,Homeimprovement,D,6000,14.74,1,0,4
2450,25,72000,Rent,1.0,Venture,B,6000,11.86,0,0,3
2451,35,19200,Rent,4.0,Personal,A,1200,7.29,1,0,10
2452,26,108000,Mortgage,3.0,Venture,B,9000,10.38,0,0,4
2453,23,50004,Mortgage,7.0,Personal,B,16000,11.83,0,0,2
2454,32,62000,Own,1.0,Education,B,15000,12.18,0,0,6
2455,23,48235,Mortgage,5.0,Venture,B,20000,12.18,0,0,2
2456,25,52000,Rent,0.0,Personal,B,24000,10.74,1,0,2
2457,22,49536,Mortgage,6.0,Debtconsolidation,A,5200,6.62,0,0,2
2459,24,39000,Rent,0.0,Debtconsolidation,A,3250,8.94,1,0,2
2460,29,125000,Mortgage,6.0,Homeimprovement,C,6400,12.87,0,1,9
2461,26,24000,Rent,5.0,Debtconsolidation,A,6000,6.62,0,0,4
2462,25,62400,Own,0.0,Medical,D,15000,17.58,0,0,4
2463,27,34152,Rent,5.0,Medical,C,5000,13.79,0,0,10
2464,23,74000,Rent,7.0,Education,A,6000,5.79,0,0,3
2466,37,60000,Mortgage,4.0,Debtconsolidation,C,12000,12.73,0,0,15
2467,23,65400,Rent,1.0,Debtconsolidation,C,10075,13.98,0,1,2
2468,32,130000,Mortgage,3.0,Education,A,28000,8.49,0,0,7
2469,22,72000,Rent,4.0,Personal,A,6200,5.99,0,0,2
2470,28,64000,Mortgage,4.0,Personal,A,8825,5.99,0,0,5
2472,33,186996,Mortgage,0.0,Education,D,25000,14.46,0,1,8
2473,43,65000,Rent,2.0,Medical,B,5000,9.62,0,0,16
2474,23,71000,Rent,7.0,Personal,A,11300,7.49,0,0,3
2476,30,54600,Mortgage,11.0,Venture,B,2500,9.99,0,0,7
2478,25,49000,Rent,9.0,Homeimprovement,A,10000,6.62,1,0,4
2479,25,115200,Mortgage,1.0,Venture,A,14000,6.62,0,0,3
2480,39,60000,Rent,1.0,Medical,B,11025,10.59,0,0,12
2481,29,142000,Own,14.0,Personal,B,24250,11.48,0,0,8
2482,22,31000,Rent,2.0,Medical,A,1600,9.32,0,0,3
2483,30,98000,Mortgage,6.0,Homeimprovement,B,35000,10.59,1,0,8
2485,30,65000,Rent,3.0,Debtconsolidation,B,8800,10.0,0,0,8
2486,27,27000,Rent,1.0,Debtconsolidation,A,5000,7.88,0,0,8
2487,28,59904,Mortgage,12.0,Medical,C,13750,16.7,0,0,6
2488,27,27000,Own,1.0,Venture,A,6000,8.0,0,0,6
2489,22,35000,Mortgage,6.0,Education,A,8000,5.79,0,0,4
2490,33,64000,Rent,14.0,Venture,E,11000,15.68,1,1,5
2492,29,46140,Mortgage,2.0,Homeimprovement,C,4800,14.72,0,1,6
2493,31,54000,Rent,3.0,Homeimprovement,D,9000,12.49,1,0,7
2494,27,110000,Rent,6.0,Education,C,16000,15.27,0,0,8
2496,24,73000,Rent,5.0,Medical,C,9600,13.92,0,1,3
2497,22,57996,Mortgage,2.0,Venture,B,2500,12.53,0,0,4
2498,25,60000,Rent,3.0,Personal,A,17000,6.91,0,0,2
2499,40,14400,Own,10.0,Homeimprovement,A,8000,7.14,1,0,12
2502,27,390000,Mortgage,11.0,Personal,B,10000,11.26,0,0,6
2504,26,54000,Rent,1.0,Homeimprovement,C,1500,13.98,0,1,4
2505,31,66000,Rent,4.0,Debtconsolidation,C,6000,14.35,1,0,5
2506,34,61476,Mortgage,12.0,Homeimprovement,A,9200,7.74,0,0,7
2507,31,75000,Rent,4.0,Medical,C,4000,13.49,0,1,8
2508,36,55000,Rent,8.0,Venture,A,7500,8.9,0,0,13
2509,21,50000,Rent,2.0,Education,D,18000,14.74,1,0,2
2510,27,170000,Rent,3.0,Homeimprovement,B,12075,12.42,0,0,10
2511,25,90000,Mortgage,4.0,Venture,B,10000,10.0,0,0,2
2513,22,185000,Rent,4.0,Education,B,25000,11.36,0,0,4
2514,27,68000,Own,11.0,Personal,A,20000,7.9,0,0,9
2515,24,34000,Mortgage,1.0,Personal,C,5100,14.35,0,0,4
2516,25,36000,Rent,1.0,Medical,B,6600,11.49,0,0,4
2517,24,39000,Mortgage,3.0,Debtconsolidation,A,5600,5.42,0,0,4
2518,29,105996,Rent,13.0,Homeimprovement,D,25000,14.83,0,0,9
2519,28,40000,Rent,0.0,Medical,C,5600,13.49,0,0,8
2520,34,74000,Mortgage,13.0,Venture,C,10000,15.96,1,1,10
2521,22,56324,Rent,2.0,Education,B,12400,10.74,0,0,4
2522,24,39875,Rent,7.0,Personal,D,13300,16.0,1,1,4
